procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 3831600 1013664 6972512    0    0     7    26   40   59  2  1 97  0  0
 0  0      0 3830880 1013712 6971832    0    0    79   510 1192 2325  2  1 97  0  0
 0  0      0 3827672 1013712 6972900    0    0    18   636  428  897  1  0 99  0  0
 0  0      0 3827112 1013712 6973076    0    0    12    30  335  733  1  0 99  0  0
 0  0      0 3787840 1013724 7014996    0    0    10  4442 2506 4831  4  1 95  0  0
 0  0      0 3749804 1013920 7014660    0    0    10  5310 3036 5516  3  1 95  1  0
 2  0      0 3741316 1013924 7049948    0    0    10    18 4003 5846  4  1 95  0  0
 1  0      0 3735132 1013932 7036172    0    0    10   285 4015 4930  2  1 96  0  0
 0  0      0 3791804 1013936 6984264    0    0    10   462 1378 1922  1  0 98  0  0
 0  0      0 3775056 1013940 7001592    0    0    12   297 1658 2413  2  1 98  0  0
 1  0      0 3682288 1013940 7076704    0    0    14   209 3050 5645  5  1 93  0  0
 0  0      0 3773132 1013940 6990040    0    0    10    36 1676 1985  1  0 98  0  0
 0  0      0 3778464 1013940 6990528    0    0    10   489  567 1193  1  0 98  0  0
 0  0      0 3777572 1013948 6990476    0    0    12   110  313  676  1  0 99  0  0
 1  0      0 3763408 1013952 7010472    0    0    12   541  509 1196  1  0 99  0  0
 0  0      0 3796544 1013952 6988864    0    0    11    20  368  729  1  0 99  0  0
 0  0      0 3800620 1013952 6978240    0    0    10   197 1458 2046  1  0 99  0  0
 0  0      0 3788776 1014088 6978468    0    0    11   936  611 2075  1  0 98  0  0
 0  0      0 3785808 1014092 6978472    0    0    10   283  284  664  1  0 99  0  0
 0  0      0 3783560 1014100 6978480    0    0    11   300  305  706  1  0 99  0  0
 0  0      0 3786360 1014100 6978492    0    0    11    69  278  698  1  0 99  0  0
 0  0      0 3786364 1014104 6978496    0    0    10   254  244  529  0  0 99  0  0
 0  0      0 3786364 1014104 6978488    0    0    10   158  246  518  0  0 99  0  0
 0  0      0 3789276 1014104 6978512    0    0    12   154  278  594  1  0 99  0  0
