procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 240384 2813800 837308 4388392    0    0     1    76 1256 3233  2  1 98  0  0
 0  0 240384 2757852 837308 4378656    0    0     1   270 1046 2720  2  1 98  0  0
 0  0 240384 2816044 837312 4383760    0    0     1   142 1170 3215  2  1 97  0  0
 0  0 240384 2821500 837316 4378228    0    0     1   148  998 2603  2  0 98  0  0
 0  0 240384 2772072 837332 4378336    0    0    16   185 1148 2656  2  1 98  0  0
 0  0 240384 2841812 837344 4378296    0    0     1    74 1053 2606  2  0 98  0  0
 0  0 240384 2892136 837348 4378160    0    0     2   125 1112 2866  1  0 98  0  0
 0  0 240384 2873752 837348 4378380    0    0     1   235 1050 2635  1  1 98  0  0
 0  0 240384 2871792 837352 4378336    0    0     2   146 1028 2551  1  0 98  0  0
 0  0 240384 2867208 837360 4378404    0    0     1    35 1113 2907  1  0 98  0  0
 0  0 240384 2865864 837372 4378336    0    0     1   222  995 2515  1  0 98  0  0
 2  0 240384 2818396 837572 4378524    0    0     2   789 1173 3365  2  1 97  0  0
 0  0 240384 2848644 837588 4389596    0    0     2    27 1098 2952  2  0 98  0  0
 0  0 240384 2859096 837600 4380976    0    0     3    31 1226 2976  2  1 98  0  0
 0  0 240384 2855728 837600 4386148    0    0     1   247 1280 3434  2  1 97  0  0
 1  0 240384 2789732 837616 4439208    0    0    13    70 3814 6025  3  1 96  0  0
 0  0 240384 2769244 837644 4425424    0    0    59   215 5568 7387  4  1 95  0  0
 0  0 240384 2758892 837656 4460764    0    0    95   269 4520 6293  4  1 95  0  0
 0  0 240384 2765688 837676 4450976    0    0     8   237 2355 3710  2  1 97  0  0
 0  0 240384 2770700 837680 4432240    0    0     6   299  915 2311  1  0 98  0  0
 1  0 240384 2795272 837680 4431884    0    0     1     1  739 1831  1  0 99  0  0
 0  0 240384 2725848 837700 4459656    0    0   220   406 3059 24614  3  1 95  0  0
 0  0 240384 2699284 837968 4455876    0    0  1430   522 4553 8624  4  2 94  0  0
 0  0 240384 2660744 838180 4441528    0    0     1  2085 5956 7595  4  1 95  0  0
 0  0 240384 2648780 838220 4494780    0    0     1   146 4501 9297  5  1 94  0  0
 1  0 240384 2531332 838456 4536540    0    0   797   186 6176 11156  7  2 91  0  0
 1  0 240384 2655352 838572 4505376    0    0   262    78 2572 3230  1  1 98  0  0
 0  0 240384 2630864 838600 4500888    0    0     2   362 3619 3295  1  1 98  0  0
 1  0 240384 2690072 838616 4498840    0    0     2   678 4010 4194  1  1 98  0  0
 0  0 240384 2709724 838640 4491680    0    0     2   153 3632 3014  1  1 99  0  0
 0  0 240384 2715664 838648 4491684    0    0     2    36 1714 2499  1  1 98  0  0
 0  0 240384 2768736 838684 4456860    0    0     2   403 2431 2540  1  0 98  0  0
 1  0 240384 2791164 838688 4443716    0    0     2    19 3593 3979  1  1 98  0  0
 0  0 240384 2785432 838692 4449188    0    0     2   179 4061 61016  2  1 97  0  0
 0  0 240384 2782776 838772 4451876    0    0    15   328 4692 5300  3  1 96  0  0
 0  0 240384 2764216 839044 4461548    0    0     2   631 5143 6674  4  1 95  0  0
 0  0 240384 2750964 839048 4466248    0    0     2    42 4224 5030  2  1 97  0  0
 0  0 240384 2769360 839048 4448736    0    0     2    25 2317 3068  2  1 98  0  0
 3  0 240384 2765188 839052 4450540    0    0     2   378 3577 4167  2  1 97  0  0
 0  0 240384 2770028 839052 4442176    0    0     2    90 3250 3471  1  0 98  0  0
 0  0 240384 2743232 839056 4459676    0    0     2   294 1823 3218  2  1 98  0  0
 2  0 240384 2764820 839068 4443776    0    0     2    44 3995 3441  1  1 98  0  0
 0  0 240384 2752984 839072 4449200    0    0     2    46 2430 3917  2  1 97  0  0
 0  0 240384 2746092 839096 4464408    0    0     2   290 1340 2364  1  0 98  0  0
 0  0 240384 2744428 839100 4470500    0    0     2    14 4518 5613  3  1 96  0  0
 0  0 240384 2745452 839112 4465692    0    0     2   170 3585 4104  2  1 97  0  0
 0  0 240384 2745800 839112 4461484    0    0     2   137 4408 4545  2  1 97  0  0
 0  0 240384 2765032 839292 4439528    0    0     2   884 4212 5718  3  1 96  0  0
 0  0 240384 2770284 839300 4433212    0    0     2    16 3739 2995  1  0 99  0  0
 3  0 240384 2702256 839304 4465380    0    0     2    14 5724 9024  5  2 93  0  0
 1  0 240384 2746132 839308 4449756    0    0     2    57 3187 3972  2  1 97  0  0
 0  0 240384 2755408 839352 4443464    0    0     2   363 2605 3400  1  1 98  0  0
 0  0 240384 2745104 839356 4449904    0    0     2    43 2715 3383  1  1 98  0  0
 0  0 240384 2763148 839368 4430428    0    0     2   259 3846 3200  1  1 98  0  0
 0  0 240384 2763364 839368 4430788    0    0     2   122 3386 3245  1  0 98  0  0
 0  0 240384 2697988 839376 4499720    0    0     2    17 3919 4560  2  1 97  0  0
 1  0 240384 2743848 839384 4452088    0    0     2   265 3791 4951  3  1 96  0  0
 1  0 240384 2748644 839404 4444836    0    0     2    86 3462 5404  4  1 95  0  0
 0  0 240384 2745384 839416 4449000    0    0     2   307 4690 6253  4  1 95  0  0
 0  0 240384 2719120 839704 4444792    0    0     2   663 3931 6198  4  1 95  0  0
 0  0 240384 2728652 839724 4445000    0    0     2    31 4323 4289  3  1 97  0  0
 0  0 240384 2706344 839724 4458108    0    0     2   251 4976 59067  4  1 94  0  0
 0  0 240384 2676444 839748 4490724    0    0     2   102 4416 5752  3  1 96  0  0
 0  0 240384 2720356 839748 4454632    0    0     2   342 4480 4000  2  1 98  0  0
 0  0 240384 2735828 839776 4439888    0    0     2   162 2443 2601  1  1 98  0  0
 0  0 240384 2722292 839776 4457904    0    0     2     1 2673 3098  1  0 98  0  0
 0  0 240384 2735908 839780 4447304    0    0     2   188 3596 3943  2  1 97  0  0
 0  0 240384 2732120 839788 4447068    0    0     2   143 2819 2950  1  1 98  0  0
 0  0 240384 2733900 839788 4447068    0    0     2   158 3491 3260  2  1 98  0  0
 0  0 240384 2733652 839788 4439872    0    0     2   132 4072 3288  1  0 99  0  0
 0  0 240384 2735488 839796 4439904    0    0     2   343 1775 2479  1  1 98  0  0
 0  0 240384 2723396 840120 4444436    0    0     2   682 3014 3623  1  1 98  0  0
 0  0 240384 2716616 840120 4445048    0    0     2     1 2978 3058  1  0 98  0  0
 0  0 240384 2713984 840128 4452296    0    0     2   179 4276 4345  2  1 97  0  0
 0  0 240384 2720136 840132 4440288    0    0     2   152 4293 4167  2  1 97  0  0
 1  1 240384 2723292 840132 4436940    0    0     2    70 4398 4804  2  1 97  0  0
 2  0 240384 2674988 840148 4457652    0    0  4229   138 1344 2801  2  0 98  0  0
 0  0 240384 2679328 840168 4458188    0    0     3  1430  830 2164  1  0 98  0  0
 0  0 240384 2680232 840180 4458100    0    0     3  4353  728 1783  1  0 99  0  0
 0  0 240384 2692980 840180 4455792    0    0     2    22  805 1932  1  0 98  0  0
 0  0 240384 2692728 840180 4454384    0    0     2     1  704 1801  1  0 99  0  0
 0  0 240384 2692728 840184 4454384    0    0     2    14  654 1642  1  0 99  0  0
 0  0 240384 2633080 840212 4526172    0    0    16   511 3322 5532  3  1 96  0  0
 0  0 240384 2666924 840568 4476680    0    0     3   594 4503 4956  2  1 97  0  0
 0  0 240384 2664584 840572 4481260    0    0     2   245 3788 4608  2  1 97  0  0
 0  0 240384 2659260 840572 4492924    0    0     2    19 3627 4177  2  1 97  0  0
 1  0 240384 2667440 840600 4480728    0    0  1690   478 4941 70413  2  1 97  0  0
 0  0 240384 2678124 840604 4467968    0    0     3    42 4685 4436  2  1 97  0  0
 0  0 240384 2676164 840612 4464652    0    0     2   365 4088 3121  1  0 98  0  0
 0  0 240384 2695804 840612 4464804    0    0     3   209 4326 3634  1  1 98  0  0
 0  0 240384 2694680 840624 4464868    0    0     3   171 2574 3210  2  1 97  0  0
 0  0 240384 2698376 840636 4459632    0    0     3    46 3647 2843  1  0 99  0  0
 0  0 240384 2681800 840636 4481276    0    0     2   170 3857 3819  2  1 98  0  0
 0  0 240384 2698908 840640 4459780    0    0     3   163 2760 2824  1  1 98  0  0
 0  0 240384 2680048 840644 4478032    0    0     3    18 2831 4096  2  1 97  0  0
 0  0 240384 2678816 840840 4481456    0    0     2   810 4716 4966  2  1 97  0  0
 0  0 240384 2678240 840840 4474980    0    0     2    16 5141 6192  4  1 95  0  0
 0  0 240384 2608304 840844 4467200    0    0     6   376 1071 2791  2  1 97  0  0
 0  0 240384 2708060 840856 4456764    0    0     5   131  758 1949  1  0 98  0  0
 0  0 240384 2677344 840876 4480484    0    0     2   375 2213 4361  3  1 97  0  0
 0  0 240384 2660848 840884 4484816    0    0     4    39 5012 8142  5  2 93  0  0
 1  0 240384 2699660 840896 4458348    0    0     2   330 2552 2585  1  0 99  0  0
 0  0 240384 2701468 840904 4458348    0    0     2   101 4119 3125  1  0 99  0  0
 0  0 240384 2631496 840916 4458580    0    0     2   380 2442 2852  1  1 98  0  0
 0  0 240384 2730008 840920 4458580    0    0     2   128 3600 3455  1  1 98  0  0
 0  0 240384 2741004 840928 4458572    0    0     2   164 4341 3489  1  0 98  0  0
 0  0 240384 2739524 840936 4458764    0    0     2   160 3316 3674  2  1 98  0  0
 1  0 240384 2732360 841460 4458896    0    0    24   680 5430 6023  3  1 96  0  0
 0  0 240384 2714756 841468 4477320    0    0     2    22 3964 4492  2  1 97  0  0
 0  0 240384 2707836 841476 4472328    0    0     2   341 2329 3413  2  1 97  0  0
 1  0 240384 2724864 841480 4462508    0    0     2    22 4137 4608  2  1 97  0  0
 0  0 240384 2733788 841484 4454576    0    0     2    90 4267 4707  2  1 97  0  0
 0  0 240384 2739336 841492 4448056    0    0    30   176  755 1802  1  0 99  0  0
 0  0 240384 2756196 841504 4448076    0    0     3    73 1142 2204  2  0 98  0  0
 0  0 240384 2754524 841520 4448080    0    0     2   288  721 1884  1  0 99  0  0
 2  0 240384 2748560 841536 4453672    0    0     3    25 2880 3306  1  0 98  0  0
 0  0 240384 2751360 841540 4453744    0    0     2   190 3434 2895  1  0 99  0  0
 0  0 240384 2735240 841540 4473112    0    0     3   234 4164 3238  1  1 98  0  0
 0  0 240384 2723740 841540 4485920    0    0     3   131 2354 3198  2  0 98  0  0
 0  0 240384 2723516 841672 4477520    0    0     3   777 2169 3702  2  1 97  0  0
 0  0 240384 2721456 841672 4474136    0    0     3     1 2825 3260  1  1 98  0  0
 0  1 240384 2727056 841672 4467640    0    0     2   235 1765 2743  1  1 98  0  0
 0  0 240384 2741684 841676 4451972    0    0     3    23 4080 3072  1  0 99  0  0
