procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  40448 295972 1052996 6767384    0    0     5    27   28   28  2  1 97  0  0
 0  0  40448 288580 1052996 6773220    0    0    26   310 2538 5902  4  1 95  0  0
 2  0  40704 266108 1049268 6785072    0   46     7   173 4979 10647 10  2 88  0  0
 0  0  40704 206364 1049276 6816004    0    0     0   574 4312 6155  5  1 94  0  0
 0  0  40704 265968 1049276 6783640    0    0    10    81 2525 5798  5  1 94  0  0
 0  0  40704 265012 1049280 6776640    0    0     0   325  991 2353  1  0 98  0  0
 0  0  40704 241408 1049288 6786476    0    0     8   114 2593 6176  5  1 93  0  0
 1  0  40704 231344 1049380 6796648    0    0     0   603 1916 4403  3  1 96  0  0
 0  0  40704 243544 1049392 6791004    0    0     6   757 4741 7447  5  1 93  0  0
 0  0  40704 288956 1049392 6780632    0    0     0    74 1236 2724  2  1 97  0  0
 1  0  40704 262416 1049400 6788348    0    0     4   145 2335 5865  5  1 94  0  0
 1  0  40704 196664 1049400 6840452    0    0     0    29 3373 5105  3  1 96  0  0
 1  0  40704 250936 1049404 6793196    0    0     3   894 5523 8098  5  2 93  0  0
 1  0  40704 309148 1049408 6756220    0    0     1    54 4383 5235  3  1 96  0  0
 0  0  40704 296940 1049416 6770452    0    0     0    63 4042 6451  4  1 95  0  0
