procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5024340 896652 5855952    0    0     0    86  878 2201  1  0 99  0  0
 0  0      0 5024656 896652 5857372    0    0     0    74  861 2026  1  0 99  0  0
 0  0      0 5013500 896668 5858360    0    0     0   143 1057 2119  1  0 98  0  0
 0  0      0 5014096 896668 5858364    0    0     0  1293 1415 2493  1  0 99  0  0
 1  0      0 5015684 896672 5858364    0    0     0  4113 2687 3244  1  0 98  0  0
 0  0      0 5018596 896672 5853116    0    0     0     8 2903 3077  1  1 98  0  0
 0  0      0 5019920 897088 5854544    0    0     0   867 3930 5351  2  1 96  0  0
 0  0      0 5003176 897100 5869036    0    0     0    25 3311 3734  1  1 98  0  0
 0  0      0 5024236 897104 5853148    0    0     0    58 3101 3145  1  1 98  0  0
 0  0      0 5023380 897120 5853276    0    0     0   227  859 2080  1  0 99  0  0
 0  0      0 5022968 897120 5853148    0    0     0    19  802 1819  1  0 99  0  0
 1  0      0 5022484 897120 5853084    0    0     0    38  799 1835  1  0 99  0  0
 0  0      0 5025604 897128 5859492    0    0     0    21 3525 3960  2  1 98  0  0
 1  0      0 5020744 897132 5868920    0    0     0    77 3120 4010  2  1 98  0  0
 0  0      0 5022816 897132 5862448    0    0     0    53 3534 5766  3  1 96  0  0
 0  0      0 5026880 897132 5857240    0    0     0    52 3689 5892  3  1 96  0  0
 2  0      0 5021080 897132 5855284    0    0     0    34 3280 5519  3  1 96  0  0
 0  0      0 5016364 897132 5856028    0    0     0    53 2701 4500  2  1 97  0  0
 0  0      0 5010020 897524 5852396    0    0     0   981 3020 4109  2  1 97  0  0
 1  0      0 4996316 897548 5872060    0    0     0    47 3146 4186  2  1 97  0  0
 1  0      0 4969440 897572 5885596    0    0     0   123 3419 5670  3  1 96  0  0
 0  0      0 4978768 897584 5871332    0    0     0   122 1781 3982  3  1 97  0  0
 0  0      0 4993176 897588 5863944    0    0     0    81 2615 3905  2  1 97  0  0
 0  0      0 4995792 897592 5858028    0    0     0    34 3405 4468  2  1 97  0  0
 0  0      0 4999872 897604 5857064    0    0     0    92 2068 3285  2  1 98  0  0
 0  0      0 5016784 897612 5848792    0    0     0    74  814 1822  1  0 99  0  0
 0  0      0 5017900 897616 5848916    0    0     0    14  798 1895  1  0 99  0  0
 0  0      0 5019796 897620 5848868    0    0     0    62  780 1706  1  0 99  0  0
 0  0      0 5018792 897624 5849380    0    0     0    24  752 1678  1  0 99  0  0
 0  0      0 5017904 897624 5848868    0    0     0    34  766 1821  1  0 99  0  0
